CountryName,CountryCode,SeriesName,SeriesCode,[2021_YR2021],[2022_YR2022],[2022_[YR2023]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,16345202563,15325233810,15740683549
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,1.10144E+12,1.03271E+12,1.06071E+12
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,1.25117E+12,1.28344E+12,1.35728E+12
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,14259995441,14497243872,17233051620
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,113.5937914,124.2786953,127.9593997
Afghanistan,AFG,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,113.5937914,124.2786953,127.9593997
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-20.73883937,-6.240171992,2.710886791
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,408.6258552,377.6656271,379.7074973
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,27535.81638,25449.51874,25587.11298
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,31278.97783,31628.32986,32741.11617
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,356.4962141,357.2611528,415.7074171
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-22.58448187,-7.576668912,0.540655554
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2144.16657,1981.710168,1992.424394
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2144.16657,2122.995815,2211.280635
Afghanistan,AFG,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,10611.84029,10863.25179,10830.83862
Afghanistan,AFG,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..
Afghanistan,AFG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,..,..,..
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,85767546198,80415503801,82595477072
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,85767546198,86148711749,91668110209
Afghanistan,AFG,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,1.25117E+12,1.28344E+12,1.35728E+12
