country_name,country_code,series_name,series_code,year,value
United States,USA,Agriculture census (Availability score over 20 years),SPI.D4.1.2.AGRI,2021,1
United States,USA,Agriculture survey (Availability score over 10 years),SPI.D4.1.5.AGSVY,2021,1
United States,USA,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),SPI.D1.5.POV,2021,1
United States,USA,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",SPI.D1.5.CHLD.MORT,2021,1
United States,USA,Business process,SPI.D5.2.10.GSBP,2021,1
United States,USA,Business/establishment census (Availability score over 20 years),SPI.D4.1.3.BIZZ,2021,1
United States,USA,Business/establishment survey (Availability score over 10 years),SPI.D4.1.8.BZSVY,2021,1
United States,USA,Central government accounting status,SPI.D5.2.7.CGOV,2021,1
United States,USA,Classification of household consumption,SPI.D5.2.5.HOUS,2021,1
United States,USA,Classification of national industry,SPI.D5.2.3.CNIN,2021,1
United States,USA,Classification of status of employment,SPI.D5.2.6.EMPL,2021,1
United States,USA,Compilation of government finance statistics,SPI.D5.2.8.FINA,2021,1
United States,USA,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,2021,1
United States,USA,CPI base year,SPI.D5.2.4.CPIBY,2021,1
United States,USA,CRVS (WDI),SPI.D4.2.3.CRVS,2021,1
United States,USA,Dimension 1.5: Data use by international organizations,SPI.DIM1.5.INDEX,2021,1
United States,USA,Dimension 2.1: Data Releases,SPI.DIM2.1.INDEX,2021,1
United States,USA,Dimension 2.2: Online access,SPI.DIM2.2.INDEX,2021,0.781
United States,USA,Dimension 2.2: Online access - Download Options Score,SPI.D2.2.Download.options,2021,0.717
United States,USA,Dimension 2.2: Online access - Machine Readability Score,SPI.D2.2.Machine.readable,2021,0.883
United States,USA,Dimension 2.2: Online access - Metadata Available Score,SPI.D2.2.Metadata.available,2021,0.555
United States,USA,Dimension 2.2: Online access - Non-Proprietary format Score,SPI.D2.2.Non.proprietary,2021,0.933
United States,USA,Dimension 2.2: Online access - Terms of Use Score,SPI.D2.2.Terms.of.use,2021,0.819
United States,USA,Dimension 2.4: Data services,SPI.DIM2.4.INDEX,2021,1
United States,USA,Dimension 3.1: Social Statistics,SPI.DIM3.1.INDEX,2021,0.855833333333333
United States,USA,Dimension 3.2: Economic Statistics,SPI.DIM3.2.INDEX,2021,0.861166666666667
United States,USA,Dimension 3.3: Environmental Statistics,SPI.DIM3.3.INDEX,2021,0.95
United States,USA,Dimension 3.4: Institutional Statistics,SPI.DIM3.4.INDEX,2021,0.775
United States,USA,Dimension 4.1: Censuses and Surveys - Censuses only,SPI.DIM4.1.CEN.INDEX,2021,1
United States,USA,Dimension 4.1: Censuses and Surveys - Surveys only,SPI.DIM4.1.SVY.INDEX,2021,1
United States,USA,Dimension 4.2: Administrative Data,SPI.DIM4.2.INDEX,2021,1
United States,USA,Dimension 4.3: Geospatial Data,SPI.DIM4.3.INDEX,2021,0.404
United States,USA,Dimension 5.1: Legislation and governance,SPI.DIM5.1.INDEX,2021,1
United States,USA,Dimension 5.2: Standards and Methods,SPI.DIM5.2.INDEX,2021,1
United States,USA,Dimension 5.5: Finance,SPI.DIM5.5.INDEX,2021,1
United States,USA,Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,SPI.D5.5.DIFI,2021,1
United States,USA,Geospatial data available at 1st Admin Level,SPI.D4.3.GEO.first.admin.level,2021,0.404
United States,USA,GOAL 1: No Poverty (5 year moving average),SPI.D3.1.POV,2021,1
United States,USA,GOAL 10: Reduced Inequality (5 year moving average),SPI.D3.10.NEQL,2021,1
United States,USA,GOAL 11: Sustainable Cities and Communities (5 year moving average),SPI.D3.11.CITY,2021,0.8
United States,USA,GOAL 12: Responsible Consumption and Production (5 year moving average),SPI.D3.12.CNSP,2021,0.8
United States,USA,GOAL 13: Climate Action (5 year moving average),SPI.D3.13.CLMT,2021,1
United States,USA,GOAL 15: Life on Land (5 year moving average),SPI.D3.15.LAND,2021,0.9
United States,USA,GOAL 16: Peace and Justice Strong Institutions (5 year moving average),SPI.D3.16.INST,2021,0.8
United States,USA,GOAL 17: Partnerships to achieve the Goal (5 year moving average),SPI.D3.17.PTNS,2021,0.75
United States,USA,GOAL 2: Zero Hunger (5 year moving average),SPI.D3.2.HNGR,2021,0.9
United States,USA,GOAL 3: Good Health and Well-being (5 year moving average),SPI.D3.3.HLTH,2021,0.96
United States,USA,GOAL 4: Quality Education (5 year moving average),SPI.D3.4.EDUC,2021,0.6
United States,USA,GOAL 5: Gender Equality (5 year moving average),SPI.D3.5.GEND,2021,0.8
United States,USA,GOAL 6: Clean Water and Sanitation (5 year moving average),SPI.D3.6.WTRS,2021,0.875
