country_name,country_code,series_name,series_code,year,value
United States,USA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2021,100
United States,USA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,2021,100
United States,USA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,2021,100
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,100
United States,USA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2021,100
United States,USA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,2021,100
United States,USA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,2021,94.95
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,2021,96.79
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,2021,93.09
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,2021,95.14
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,2021,91.25
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,2021,57.72
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,2021,97.42
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,2021,96.38
United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2021,93.8
United States,USA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2021,5.5014141407685
United States,USA,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,2021,17373020331178.6
United States,USA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2021,19593000990250.4
United States,USA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2021,5.3355458982541
United States,USA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2021,52320.656091582
United States,USA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2021,59006.3585416509
United States,USA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,2021,4.37046038983705
United States,USA,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,2021,1032176568888.06
United States,USA,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,2021,4.30463485067361
United States,USA,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,2021,1016630476920.97
United States,USA,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,2021,0.890531802541054
United States,USA,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,2021,210317902107.058
United States,USA,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,2021,16.2237735340304
United States,USA,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,2021,3831586928396.06
United States,USA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2021,4.43153013979605
United States,USA,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,2021,1046599480744.69
United States,USA,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,2021,0.754588126034697
United States,USA,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,2021,178211930410.197
United States,USA,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,2021,17.8684287109944
United States,USA,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,2021,0.0606049983472533
United States,USA,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,2021,14313150943.3189
United States,USA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,2021,0.81519312438195
United States,USA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,2021,0
United States,USA,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,2021,0
United States,USA,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,2021,1.644655176964
United States,USA,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,2021,388420071603.938
United States,USA,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,2021,0.0658255391634396
United States,USA,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,2021,15546091967.0888
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2021,13.724
United States,USA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,2021,1.15775001049042
United States,USA,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,2021,27000
United States,USA,Age dependency ratio (% of working-age population),SP.POP.DPND,2021,52.9517089915283
United States,USA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,2021,25.1969128616528
United States,USA,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,2021,27.7547961298755
United States,USA,Agricultural land (% of land area),AG.LND.AGRI.ZS,2021,45.2097150781313
United States,USA,Agricultural land (sq. km),AG.LND.AGRI.K2,2021,4058103.538
United States,USA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2021,2.04366802376243
United States,USA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2021,1.15729914112526
United States,USA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2021,0.944732585225621
United States,USA,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,2021,223723739000
United States,USA,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,2021,223723739000
United States,USA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,2021,46004.645648
United States,USA,"Air transport, passengers carried",IS.AIR.PSGR,2021,666153000
United States,USA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,2021,8005775
United States,USA,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,2021,39.6587814265
United States,USA,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,2021,13.1423169551
United States,USA,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,2021,47.1989016183
United States,USA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,2021,15.7699117024308
United States,USA,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,2021,444.3961117745
United States,USA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,2021,461639.12
United States,USA,Arable land (% of land area),AG.LND.ARBL.ZS,2021,16.6974585074261
United States,USA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2021,0.47504076484476
United States,USA,Arable land (hectares),AG.LND.ARBL.HA,2021,157736800
United States,USA,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,2021,11074000000
United States,USA,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,2021,846000000
United States,USA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2021,715
United States,USA,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,2021,3.32061394736842
United States,USA,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,2021,8.62368627738747
United States,USA,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,2021,22.2642046509282
United States,USA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2021,0.813464699477564
United States,USA,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,2021,99.96
United States,USA,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,2021,100
United States,USA,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,2021,99.85
United States,USA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,2021,11
United States,USA,"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,2021,3.62
United States,USA,"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,2021,3.46
United States,USA,"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,2021,4.23
United States,USA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,2021,114.980934430191
United States,USA,Broad money (current LCU),FM.LBL.BMNY.CN,2021,27228831699811.4
United States,USA,Broad money growth (annual %),FM.LBL.BMNY.ZG,2021,16.8566833650737
United States,USA,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2021,38.0210091954327
United States,USA,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,2021,4307886
United States,USA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,2021,-4.5873875019927
United States,USA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2021,4755.1838
United States,USA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2021,14.3207301614424
United States,USA,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,2021,6.3594
United States,USA,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,2021,563.2469
